Temp,Vacuum,Pressure,Plant,Humidity,Energy,TempDiff,PressureDiff,RHSquared,Testing Type,Place,PowerPerFuel,TempVacuum
29.95,,1011.44#$&!$,Amrita Energy Systems,66.32,432.81,-43.47,938.0200000000001,,Development Phase,Coimbatore,0.1968276374544153,2198.929
5.76r,40.07,1013.22,Amrita Energy Systems,62.99,494.67,-34.31,973.15II@,3967.7401000000004,Development Phase,Coimbatore,2.143254512935696,230.8032
29.44,,1011.4,Amrita Energy Systems,61.78,442.32,-34.89,947.0699999999999,,Development Phase,Coimbatore,0.23355287613460485,1893.8752
32.83#,74.33,1011.44,Amrita Energy Systems,50.42,427.36,-41.5,937.11,2542.1764000000003,Development Phase,Coimbatore,0.17512931748618457,2440.2538999999997
16.86,39.63,1004.47,Amrita Energy Systems,83.5,466.68,-22.770000000000003,,6972.25,Development Phase,Coimbatore,0.69845357816026,668.1618
25.6,66.48,1006.16,Amrita Energy Systems,69.34,435.12,-40.88,,4808.0356#%$%$,Development Phase,Coimbatore,0.2556689981949458,1701.8880000000001
24.56,66.75,1018.5,Amrita Energy Systems,77.47,435.03,-42.19,951.75,6001.6008999999995$#!,Development Phase,Coimbatore,0.2653625150971709,1639.3799999999999
18.83,47.83,1005.58,Amrita Energy Systems,77.07,454.23,-29.0,957.75,5939.784899999999,Development Phase,Coimbatore,0.5043419732369988,
,43.69,1016.91,Amrita Energy Systems,52.95,464.68,-25.569999999999997,973.22,2803.7025000000003,Development Phase,Coimbatore,0.5869670773970939,791.6628
22.09,65.59,1015.54!!$^,Amrita Energy Systems,72.44,447.28,-43.5,949.9499999999999,5247.553599999999,Development Phase,Coimbatore,0.3087067548789823,1448.8831SN
12.28,39.96,1011.76,Amrita Energy Systems,77.07,468.0,-27.68,971.8,5939.784899999999,Development Phase,Coimbatore,0.9537224520937876,
5.98,,1001.66,Amrita Energy Systems,89.5,484.51,-35.33,,8010.25,Development Phase,Coimbatore,1.9613105575026573,247.03380000000004E
22.36,64.15,1021.05!,Amrita Energy Systems,68.43,453.94,-41.790000000000006,,4682.664900000001,Development Phase,Coimbatore,0.3164681391584181,1434.394
22.05sbkbb,63.31,1012.39,Amrita Energy Systems,76.95,444.37,-41.260000000000005,949.0799999999999,5921.302500000001#%#$$,Development Phase,Coimbatore,0.3183199252427765,1395.9855
27.55,68.08,1011.42,Amrita Energy Systems,60.71,432.59,-40.53,943.3399999999999,3685.7041,Development Phase,Coimbatore,0.23064036971556895,1875.604
8.23,43.79,1016.11,,82.11,484.67,-35.56,972.32,6742.0521,Development Phase,Coimbatore,1.3448422924279333,360.3917O
16.8,56.03,1020.65,Amrita Energy Systems,85.26,461.96,-39.230000000000004,964.62,7269.267600000001,Development Phase,Coimbatore,0.4907660012068364,
5.35,35.57,1027.12,Amrita Energy Systems,80.81,488.65,-30.22,991.5499999999998,,Development Phase,Coimbatore,,190.2995eOESE
11.91,43.22,1008.75,Amrita Energy Systems,76.57,472.88,-31.31,,5862.964899999999,Development Phase,Coimbatore,0.9186591865335847,514.7502
,70.72,1009.82,Amrita Energy Systems,88.79,439.3,-45.989999999999995,939.1I$@IH,7883.664100000001,Development Phase,Coimbatore,,1748.9056
